Planta,Tipo_Muestra,Fecha_Muestra,Resultado_COT_mgL
FLORA,AGUA CRUDA,2025-07-03,1.98
FLORA,AGUA TRATADA,2025-07-03,1.49
MORRO,AGUA CRUDA,2025-07-03,1.79
MORRO,AGUA TRATADA,2025-07-03,1.92
BOSCONIA,AGUA CRUDA,2025-07-04,1.47
BOSCONIA,AGUA TRATADA,2025-07-04,1.4
FLORIDA,AGUA CRUDA,2025-07-04,1.71
FLORIDA,AGUA TRATADA,2025-07-04,1.67
FLORA,AGUA CRUDA,2025-07-14,1.65
FLORA,AGUA TRATADA,2025-07-14,1.58
MORRO,AGUA CRUDA,2025-07-14,1.42
MORRO,AGUA TRATADA,2025-07-14,1.55
FLORA,AGUA TRATADA,2025-07-21,1.29
BOSCONIA,AGUA CRUDA,2025-07-24,1.47
BOSCONIA,AGUA TRATADA,2025-07-24,1.5
FLORA,AGUA CRUDA,2025-07-24,1.65
FLORIDA,AGUA CRUDA,2025-07-24,1.45
FLORIDA,AGUA TRATADA,2025-07-24,1.44
MORRO,AGUA CRUDA,2025-07-24,1.64
MORRO,AGUA TRATADA,2025-07-24,1.48
BOSCONIA,AGUA CRUDA,2025-10-09,1.56
BOSCONIA,AGUA TRATADA,2025-10-09,1.5
FLORA,AGUA CRUDA,2025-10-09,1.88
FLORA,AGUA TRATADA,2025-10-09,1.89
FLORIDA,AGUA CRUDA,2025-10-09,1.94
FLORIDA,AGUA TRATADA,2025-10-09,1.92
MORRO,AGUA CRUDA,2025-10-09,1.84
MORRO,AGUA TRATADA,2025-10-09,1.74
BOSCONIA,AGUA CRUDA,2025-11-12,1.87
BOSCONIA,AGUA TRATADA,2025-11-12,1.93
FLORA,AGUA CRUDA,2025-11-12,2.3
FLORA,AGUA TRATADA,2025-11-12,2.2
FLORIDA,AGUA CRUDA,2025-11-12,1.91
FLORIDA,AGUA TRATADA,2025-11-12,1.78
MORRO,AGUA CRUDA,2025-11-12,2.2
MORRO,AGUA TRATADA,2025-11-12,2.3
BOSCONIA,AGUA CRUDA,2025-11-25,2.3
BOSCONIA,AGUA TRATADA,2025-11-25,2.4
FLORA,AGUA CRUDA,2025-11-25,2.4
FLORA,AGUA TRATADA,2025-11-25,2.3
FLORIDA,AGUA CRUDA,2025-11-25,2.1
FLORIDA,AGUA TRATADA,2025-11-25,1.46
MORRO,AGUA CRUDA,2025-11-25,1.52
MORRO,AGUA TRATADA,2025-11-25,1.92
BOSCONIA,AGUA CRUDA,2026-02-26,3.2
BOSCONIA,AGUA TRATADA,2026-02-26,3.0
FLORA,AGUA CRUDA,2026-02-26,3.3
FLORA,AGUA TRATADA,2026-02-26,3.1
FLORIDA,AGUA CRUDA,2026-02-26,2.7
FLORIDA,AGUA TRATADA,2026-02-26,2.7
MORRO,AGUA CRUDA,2026-02-26,2.9
MORRO,AGUA TRATADA,2026-02-26,2.9
BOSCONIA,AGUA CRUDA,2026-05-22,1.71
BOSCONIA,AGUA TRATADA,2026-05-22,1.49
FLORA,AGUA CRUDA,2026-05-22,1.95
FLORA,AGUA TRATADA,2026-05-22,2.0
FLORIDA,AGUA CRUDA,2026-05-22,1.8
FLORIDA,AGUA TRATADA,2026-05-22,1.87
MORRO,AGUA CRUDA,2026-05-22,2.1
MORRO,AGUA TRATADA,2026-05-22,1.94
