Año,Sistema,Parametro,Valor,Unidad
2012.0,Tona,Turbiedad,31.8,NTU
2012.0,Tona,Coliformes_Total,2253.0,UFC/100ml
2012.0,Tona,E_coli,729.0,UFC/100ml
2012.0,Tona,Riesgo_Humano,1057.0,Índice
2012.0,Frío,Turbiedad,57.1,NTU
2012.0,Frío,Coliformes_Total,9273.0,UFC/100ml
2012.0,Frío,E_coli,2240.0,UFC/100ml
2012.0,Frío,Riesgo_Humano,2303.0,Índice
2012.0,Suratá,Turbiedad,246.1,NTU
2012.0,Suratá,Coliformes_Total,44762.0,UFC/100ml
2012.0,Suratá,E_coli,10412.0,UFC/100ml
2012.0,Suratá,Riesgo_Humano,8376.0,Índice
2013.0,Tona,Turbiedad,26.3,NTU
2013.0,Tona,Coliformes_Total,1306.0,UFC/100ml
2013.0,Tona,E_coli,599.0,UFC/100ml
2013.0,Tona,Riesgo_Humano,936.0,Índice
2013.0,Frío,Turbiedad,60.5,NTU
2013.0,Frío,Coliformes_Total,11493.0,UFC/100ml
2013.0,Frío,E_coli,2136.0,UFC/100ml
2013.0,Frío,Riesgo_Humano,2486.0,Índice
2013.0,Suratá,Turbiedad,243.6,NTU
2013.0,Suratá,Coliformes_Total,68694.0,UFC/100ml
2013.0,Suratá,E_coli,14669.0,UFC/100ml
2013.0,Suratá,Riesgo_Humano,10057.0,Índice
2014.0,Tona,Turbiedad,23.4,NTU
2014.0,Tona,Coliformes_Total,1481.0,UFC/100ml
2014.0,Tona,E_coli,612.0,UFC/100ml
2014.0,Tona,Riesgo_Humano,825.0,Índice
2014.0,Frío,Turbiedad,28.5,NTU
2014.0,Frío,Coliformes_Total,10980.0,UFC/100ml
2014.0,Frío,E_coli,1713.0,UFC/100ml
2014.0,Frío,Riesgo_Humano,1508.0,Índice
2014.0,Suratá,Turbiedad,258.7,NTU
2014.0,Suratá,Coliformes_Total,80830.0,UFC/100ml
2014.0,Suratá,E_coli,15356.0,UFC/100ml
2014.0,Suratá,Riesgo_Humano,9885.0,Índice
2015.0,Tona,Turbiedad,8.6,NTU
2015.0,Tona,Coliformes_Total,850.0,UFC/100ml
2015.0,Tona,E_coli,281.0,UFC/100ml
2015.0,Tona,Riesgo_Humano,488.0,Índice
2015.0,Frío,Turbiedad,19.8,NTU
2015.0,Frío,Coliformes_Total,7277.0,UFC/100ml
2015.0,Frío,E_coli,1250.0,UFC/100ml
2015.0,Frío,Riesgo_Humano,1335.0,Índice
2015.0,Suratá,Turbiedad,104.9,NTU
2015.0,Suratá,Coliformes_Total,57826.0,UFC/100ml
2015.0,Suratá,E_coli,10328.0,UFC/100ml
2015.0,Suratá,Riesgo_Humano,6321.0,Índice
2016.0,Tona,Turbiedad,14.9,NTU
2016.0,Tona,Coliformes_Total,1330.0,UFC/100ml
2016.0,Tona,E_coli,553.0,UFC/100ml
2016.0,Tona,Riesgo_Humano,691.0,Índice
2016.0,Frío,Turbiedad,44.7,NTU
2016.0,Frío,Coliformes_Total,13929.0,UFC/100ml
2016.0,Frío,E_coli,2531.0,UFC/100ml
2016.0,Frío,Riesgo_Humano,2177.0,Índice
2016.0,Suratá,Turbiedad,159.6,NTU
2016.0,Suratá,Coliformes_Total,59615.0,UFC/100ml
2016.0,Suratá,E_coli,10984.0,UFC/100ml
2016.0,Suratá,Riesgo_Humano,6776.0,Índice
2017.0,Tona,Turbiedad,19.4,NTU
2017.0,Tona,Coliformes_Total,1811.0,UFC/100ml
2017.0,Tona,E_coli,631.0,UFC/100ml
2017.0,Tona,Riesgo_Humano,1514.0,Índice
2017.0,Frío,Turbiedad,19.6,NTU
2017.0,Frío,Coliformes_Total,6502.0,UFC/100ml
2017.0,Frío,E_coli,1202.0,UFC/100ml
2017.0,Frío,Riesgo_Humano,2532.0,Índice
2017.0,Suratá,Turbiedad,166.8,NTU
2017.0,Suratá,Coliformes_Total,49022.0,UFC/100ml
2017.0,Suratá,E_coli,11014.0,UFC/100ml
2017.0,Suratá,Riesgo_Humano,12813.0,Índice
2018.0,Tona,Turbiedad,17.3,NTU
2018.0,Tona,Coliformes_Total,3309.0,UFC/100ml
2018.0,Tona,E_coli,512.0,UFC/100ml
2018.0,Tona,Riesgo_Humano,1875.0,Índice
2018.0,Frío,Turbiedad,31.6,NTU
2018.0,Frío,Coliformes_Total,12693.0,UFC/100ml
2018.0,Frío,E_coli,2266.0,UFC/100ml
2018.0,Frío,Riesgo_Humano,4506.0,Índice
2018.0,Suratá,Turbiedad,216.7,NTU
2018.0,Suratá,Coliformes_Total,81962.0,UFC/100ml
2018.0,Suratá,E_coli,20546.0,UFC/100ml
2018.0,Suratá,Riesgo_Humano,27827.0,Índice
2019.0,Tona,Turbiedad,21.3,NTU
2019.0,Tona,Coliformes_Total,6356.0,UFC/100ml
2019.0,Tona,E_coli,883.0,UFC/100ml
2019.0,Tona,Riesgo_Humano,2691.0,Índice
2019.0,Frío,Turbiedad,24.3,NTU
2019.0,Frío,Coliformes_Total,23647.0,UFC/100ml
2019.0,Frío,E_coli,1713.0,UFC/100ml
2019.0,Frío,Riesgo_Humano,6205.0,Índice
2019.0,Suratá,Turbiedad,168.9,NTU
2019.0,Suratá,Coliformes_Total,104218.0,UFC/100ml
2019.0,Suratá,E_coli,21003.0,UFC/100ml
2019.0,Suratá,Riesgo_Humano,49781.0,Índice
2020.0,Tona,Turbiedad,16.7,NTU
2020.0,Tona,Coliformes_Total,5676.0,UFC/100ml
2020.0,Tona,E_coli,737.0,UFC/100ml
2020.0,Tona,Riesgo_Humano,2895.0,Índice
2020.0,Frío,Turbiedad,22.6,NTU
2020.0,Frío,Coliformes_Total,26760.0,UFC/100ml
2020.0,Frío,E_coli,2841.0,UFC/100ml
2020.0,Frío,Riesgo_Humano,10850.0,Índice
2020.0,Suratá,Turbiedad,197.2,NTU
2020.0,Suratá,Coliformes_Total,161812.0,UFC/100ml
2020.0,Suratá,E_coli,23620.0,UFC/100ml
2020.0,Suratá,Riesgo_Humano,56017.0,Índice
2021.0,Tona,Turbiedad,11.9,NTU
2021.0,Tona,Coliformes_Total,9527.0,UFC/100ml
2021.0,Tona,E_coli,1204.0,UFC/100ml
2021.0,Tona,Riesgo_Humano,3124.0,Índice
2021.0,Frío,Turbiedad,15.7,NTU
2021.0,Frío,Coliformes_Total,19598.0,UFC/100ml
2021.0,Frío,E_coli,2103.0,UFC/100ml
2021.0,Frío,Riesgo_Humano,5973.0,Índice
2021.0,Suratá,Turbiedad,103.3,NTU
2021.0,Suratá,Coliformes_Total,108403.0,UFC/100ml
2021.0,Suratá,E_coli,17440.0,UFC/100ml
2021.0,Suratá,Riesgo_Humano,49785.0,Índice
2022.0,Tona,Turbiedad,46.9,NTU
2022.0,Tona,Coliformes_Total,11163.0,UFC/100ml
2022.0,Tona,E_coli,1349.0,UFC/100ml
2022.0,Tona,Riesgo_Humano,3671.0,Índice
2022.0,Frío,Turbiedad,29.0,NTU
2022.0,Frío,Coliformes_Total,18200.0,UFC/100ml
2022.0,Frío,E_coli,2492.0,UFC/100ml
2022.0,Frío,Riesgo_Humano,8869.0,Índice
2022.0,Suratá,Turbiedad,293.3,NTU
2022.0,Suratá,Coliformes_Total,114792.0,UFC/100ml
2022.0,Suratá,E_coli,15850.0,UFC/100ml
2022.0,Suratá,Riesgo_Humano,54504.0,Índice
2023.0,Tona,Turbiedad,26.5,NTU
2023.0,Tona,Coliformes_Total,10208.0,UFC/100ml
2023.0,Tona,E_coli,1575.0,UFC/100ml
2023.0,Tona,Riesgo_Humano,3348.0,Índice
2023.0,Frío,Turbiedad,16.3,NTU
2023.0,Frío,Coliformes_Total,15293.0,UFC/100ml
2023.0,Frío,E_coli,2370.0,UFC/100ml
2023.0,Frío,Riesgo_Humano,11018.0,Índice
2023.0,Suratá,Turbiedad,143.3,NTU
2023.0,Suratá,Coliformes_Total,82571.0,UFC/100ml
2023.0,Suratá,E_coli,21124.0,UFC/100ml
2023.0,Suratá,Riesgo_Humano,37429.0,Índice
2024.0,Tona,Turbiedad,24.9,NTU
2024.0,Tona,Coliformes_Total,12001.0,UFC/100ml
2024.0,Tona,E_coli,2002.0,UFC/100ml
2024.0,Tona,Riesgo_Humano,3042.0,Índice
2024.0,Frío,Turbiedad,22.1,NTU
2024.0,Frío,Coliformes_Total,20479.0,UFC/100ml
2024.0,Frío,E_coli,1795.0,UFC/100ml
2024.0,Frío,Riesgo_Humano,8540.0,Índice
2024.0,Suratá,Turbiedad,92.6,NTU
2024.0,Suratá,Coliformes_Total,105435.0,UFC/100ml
2024.0,Suratá,E_coli,22933.0,UFC/100ml
2024.0,Suratá,Riesgo_Humano,41393.0,Índice
2025.0,Tona,Turbiedad,12.5,NTU
2025.0,Tona,Coliformes_Total,7412.0,UFC/100ml
2025.0,Tona,E_coli,798.0,UFC/100ml
2025.0,Tona,Riesgo_Humano,3061.0,Índice
2025.0,Frío,Turbiedad,18.0,NTU
2025.0,Frío,Coliformes_Total,12609.0,UFC/100ml
2025.0,Frío,E_coli,2386.0,UFC/100ml
2025.0,Frío,Riesgo_Humano,16817.0,Índice
2025.0,Suratá,Turbiedad,76.5,NTU
2025.0,Suratá,Coliformes_Total,101930.0,UFC/100ml
2025.0,Suratá,E_coli,18684.0,UFC/100ml
2025.0,Suratá,Riesgo_Humano,54214.0,Índice
2026.0,Tona,Turbiedad,31.3,NTU
2026.0,Tona,Coliformes_Total,3215.0,UFC/100ml
2026.0,Tona,E_coli,270.0,UFC/100ml
2026.0,Tona,Riesgo_Humano,4453.0,Índice
2026.0,Frío,Turbiedad,18.5,NTU
2026.0,Frío,Coliformes_Total,9199.0,UFC/100ml
2026.0,Frío,E_coli,988.0,UFC/100ml
2026.0,Frío,Riesgo_Humano,78197.0,Índice
2026.0,Suratá,Turbiedad,85.4,NTU
2026.0,Suratá,Coliformes_Total,25871.0,UFC/100ml
2026.0,Suratá,E_coli,1749.0,UFC/100ml
2026.0,Suratá,Riesgo_Humano,57831.0,Índice
